0.0,-46.646969546538784,-44.49597211396137,-42.67309664250489,-41.096983391190854,-39.71261221946149
0.005,-46.64801620350947,-44.496844723078375,-42.67383175247316,-41.09760843928748,-39.71314812679688
0.01,-46.651158041884806,-44.499464006252715,-42.676038227530924,-41.09948449244301,-39.714756576422836
0.015,-46.65640067292111,-44.50383433740936,-42.679719507878175,-41.102614280769615,-39.717439753829126
0.02,-46.663753478348006,-44.509963027994466,-42.684881343022894,-41.10700236619641,-39.72120131028503
0.025,-46.67322965510441,-44.51786035952253,-42.691531815672775,-41.11265516017263,-39.72604637608113
0.03,-46.684846278538444,-44.5275396295263,-42.69968137544528,-41.11958094863202,-39.731981579193665
0.035,-46.69862438465108,-44.53901721129945,-42.70934288266153,-41.12778992440175,-39.739015069498535
0.04,-46.71458907214381,-44.55231262794303,-42.72053166257125,-41.137294227294305,-39.747156548701234
0.045,-46.73276962522367,-44.567448641354765,-42.733265570442526,-41.14810799218034,-39.75641730618944
0.05,-46.75319965832594,-44.584451356937116,-42.74756506804163,-41.16024740540251,-39.766810261058005
0.055,-46.77591728414045,-44.6033503449496,-42.763453312128135,-41.17373076995706,-39.778350010602
0.06,-46.8009653463119,-44.62417877959116,-42.78095625569604,-41.18857857994422,-39.791052885622705
0.065,-46.82839151663738,-44.646973655309026,-42.80010280647922,-41.204813637272025,-39.804937012944684
0.07,-46.8582486999454,-44.671775780522694,-42.82092481773978,-41.22246104354366,-39.82002242929941
0.075,-46.890595226957586,-44.698630215462664,-42.84345741126934,-41.24154843819931,-39.8363310177503
0.08,-46.9254951909873,-44.727586361312646,-42.86773903773809,-41.2621060411665,-39.853886778567976
0.085,-46.9630188035491,-44.75869824360649,-42.89381168148353,-41.284166802171846,-39.8727158193161
0.09,-47.003242792568244,-44.792024794543686,-42.921721062967976,-41.30776654760953,-39.89284648656894
0.095,-47.046250847842146,-44.82763016766329,-42.95151686371047,-41.33294414323586,-39.914309484962295
0.1,-47.09213411911208,-44.86558408832007,-42.98325297594416,-41.35974167418473,-39.93713800854638
0.105,-47.14099177292138,-44.905962243909094,-43.016987779564325,-41.38820464399852,-39.96136788557716
0.11,-47.19293161539117,-44.94884671836333,-43.05278444929074,-41.41838219459611,-39.98703773802971
0.115,-47.24807078915883,-44.9943264761196,-43.09071129538124,-41.45032734935902,-40.01418915728255
0.12,-47.30653655403395,-45.042497901528485,-43.130842141709024,-41.48409728181341,-40.042866897611084
0.125,-47.368467162468015,-45.09346540059299,-43.17325674556684,-41.51975361272627,-40.07311908934312
0.13,-47.43401284275809,-45.147342072986646,-43.21804126419981,-41.55736273882604,-40.10499747377519
0.135,-47.50333690506997,-45.20425046355243,-43.265288773812365,-41.596996196811006,-40.138557662230276
0.14,-47.576616987947546,-45.26432340396013,-43.31509984766271,-41.63873106683221,-40.17385942196128
0.145,-47.654046466065,-45.32770495694474,-43.36758320087577,-41.68265042024733,-40.21096699197752
0.15,-47.73583604369299,-45.39455147762325,-43.42285641080133,-41.72884381714991,-40.24994943230261
0.155,-47.822215562834806,-45.46503280885868,-43.48104672315371,-41.77740786000772,-40.29088101067152
0.16,-47.91343606042949,-45.53933363060097,-43.54229195583972,-41.82844681071409,-40.33384163125466
0.165,-48.00977211565033,-45.61765498669211,-43.60674151436366,-41.88207327949815,-40.37891731067292
0.17,-48.111524536452315,-45.700216016918496,-43.67455753506314,-41.93840899548643,-40.4262007073578
0.175,-48.2190234445282,-45.78725592730399,-43.745916175260234,-41.997585670302215,-40.475791711236646
0.18,-48.33263183022636,-45.87903623798532,-43.821009072814604,-42.059745967983524,-40.52779810181224
0.185,-48.452749664423536,-45.97584335578635,-43.900045001672495,-42.12504459675791,-40.582336283991005
0.19,-48.57981867370077,-46.07799152817869,-43.98325175498578,-42.193649540916226,-40.63953211253459
0.195,-48.71432790959486,-46.18582624716324,-44.070878293441226,-42.26574345427571,-40.69952181781707
0.2,-48.8568202737331,-46.299728186357584,-44.16319720386752,-42.34152524064373,-40.76245304772368
0.205,-49.00790020038769,-46.42011777304995,-44.260507522325554,-42.42121185144648,-40.82848604310592
0.21,-49.168242749257644,-46.54746052028406,-44.363137987192964,-42.505040336475076,-40.89779496730556
